Sample Song 1,Sample Artist 1,FALSE,Sample SetList
Sample Song 2,Sample Artist 2,FALSE,Sample SetList
Sample Song 3,Sample Artist 3,FALSE,Sample SetList 2
Sample Song 4,Sample Artist 4,FALSE,Sample SetList
Sample Song 5,Sample Artist 5,FALSE,Sample SetList
Sample Song 6,Sample Artist 6,FALSE,Sample SetList
Sample Song 7,Sample Artist 7,FALSE,Sample SetList
Sample Song 8,Sample Artist 8,FALSE,Sample SetList 2
Sample Song 9,Sample Artist 9,FALSE,Sample SetList
Sample Song 10,Sample Artist 10,FALSE,Sample SetList 2
